"","DBA","BUS NAME","BUSINESS ID","LOC NO","LOC NO SUFF","LOC PRE DIR","LOC STREET","LOC STREET TYPE","LOC UNIT TYPE","LOC APT","LOC CITY","LOC STATE","LOC ZIP","...14","BUS PHONE","EMAIL","address...17","lon","lat","address...20"
"247","DERALDS INDOOR FLEA MARKET","DERALDS INDOOR FLEA MARKET","131",219,NA,NA,"MAPLE","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-723-0700","WHITEFORDORDERS@GMAIL.COM","219 MAPLE JOLIET IL 60432",-88.0617494,41.5292794,"219 maple st, joliet, il 60432, usa"
"248","DEWITT'S GOURMET","DEWITT'S GOURMET LLC","2009",20,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-280-5280","NMORRIS7981@GMAIL.COM","20 CASS JOLIET IL 60432",-88.080999,41.527586,"20 e cass st, joliet, il 60432, usa"
"249","DIAMANDS FAMILY RESTAURANT","DIAMANDS FAMILY RESTAURANT INC","105",3000,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-436-1070",NA,"3000 PLAINFIELD JOLIET IL 60435",-88.1613469,41.5786953,"3000 plainfield rd, joliet, il 60435, usa"
"250","DICKEY'S BARBEQUE PIT","LENNY'S BBQ VETTER ROAD LLC","1989",2951,NA,NA,"CENTERPOINT","WAY",NA,NA,"ELWOOD","IL","60421",NA,"779-230-6855","LENMCENERY@AOL.COM","2951 CENTERPOINT ELWOOD IL 60421",-88.1458365,41.4441121,"2951 centerpoint way, elwood, il 60421, usa"
"251","DICKS SPORTING GOODS","DICKS SPORTING GOODS","1581",2601,NA,NA,"PLAINFIELD","ROAD","SUITE","A","JOLIET","IL","60435",NA,"724-273-3338","TANYA.ALLEN@DCSG.COM","2601 PLAINFIELD JOLIET IL 60435",-88.1528492,41.5746212,"2601 plainfield rd, joliet, il 60435, usa"
"252","DICK'S TOWING SERVICE","DICK'S TOWING SERVICE INC","92",911,NA,"NORTH","BROADWAY","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-725-5772","AMANDACAPPELLINI@YAHOO.COM","911 BROADWAY JOLIET IL 60435",-88.0854008,41.5403077,"911 n broadway st, joliet, il 60435, usa"
"253","DIRT OVAL 66","TOP NOTCH EVENTS, LLC","2077",500,NA,NA,"SPEEDWAY","BOULEVARD",NA,NA,"JOLIET","IL","60433",NA,"815-740-8000","SHERRI@DIRTOVAL66.COM","500 SPEEDWAY JOLIET IL 60433",-88.06955,41.4666,"500 speedway blvd, elwood, il 60421, usa"
"254","DISCOUNT TIRE ILC 04","DISCOUNT TIRE CO","95",2845,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-715-4710","BUSINESSLICENSES@DISCOUNTTIRE.COM","2845 PLAINFIELD JOLIET IL 60435",-88.1577651,41.5773124,"2845 plainfield rd, joliet, il 60435, usa"
"255","DISCOUNT TIRE ILC 14","DISCOUNT TIRE CO","97",1719,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-725-6571","BUSINESSLICENSES@DISCOUNTTIRE.COM","1719 JEFFERSON JOLIET IL 60435",-88.1237239,41.5231225,"1719 w jefferson st, joliet, il 60435, usa"
"256","DK AUTO SERVICE","DK AUTO SERVICE INC","1658",935,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"708-774-4040","CHUCKAHMAD42@YAHOO.COM","935 JEFFERSON JOLIET IL 60435",-88.1059686,41.5234374,"935 w jefferson st, joliet, il 60435, usa"
"257","DOLLAR GENERAL 11508","DG RETAIL LLC","89",916,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"615-855-4000","TAX-BEERANDWINELICENSE@DOLLARGENERAL.COM","916 JEFFERSON JOLIET IL 60435",-88.1043548,41.5226912,"916 w jefferson st, joliet, il 60435, usa"
"258","DOLLAR GENERAL 13824","DG RETAIL LLC","781",692,NA,NA,"THEODORE","STREET",NA,NA,"JOLIET","IL","60435",NA,"615-855-4000","TAX-BEERANDWINELICENSE@DOLLARGENERAL.COM","692 THEODORE JOLIET IL 60435",-88.0990056,41.5520613,"692 theodore st, joliet, il 60435, usa"
"259","DOLLAR GENERAL STORE #21246","DG RETAIL LLC","2122",2410,NA,NA,"ESSINGTON","ROAD",NA,NA,"JOLIET","IL","60435",NA,"615-855-4000","TAX-BEERANDWINELICENSE@DOLLARGENERAL.COM","2410 ESSINGTON JOLIET IL 60435",-88.1612326,41.5660196,"2410 essington rd, joliet, il 60435, usa"
"260","DOLLAR TREE  03430","DOLLAR TREE STORES INC","872",2900,NA,NA,"COLORADO","AVENUE",NA,NA,"JOLIET","IL","60431",NA,"815-439-8856","HFIGUER5@DOLLARTREE.COM","2900 COLORADO JOLIET IL 60431",-88.1614121,41.5766395,"2900 colorado ave, joliet, il 60431, usa"
"261","DOLLAR TREE 04464","DOLLAR TREE STORES INC","91",2134,NA,"WEST","JEFFERSON","STREET","SUITE","A","JOLIET","IL","60435",NA,"815-730-7963","HFIGUER5@DOLLARTREE.COM","2134 JEFFERSON JOLIET IL 60435",-88.134833,41.5213067,"2134 w jefferson st, joliet, il 60435, usa"
"262","DOLLAR TREE STORES 06087","DOLLAR TREE STORES INC","1636",457,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-727-2346",NA,"457 CASS JOLIET IL 60432",-88.0706083,41.5284912,"457 e cass st, joliet, il 60432, usa"
"263","DOMINO'S PIZZA 2853","NRJM INC","838",571,NA,NA,"COLLINS","STREET",NA,NA,"JOLIET","IL","60432",NA,"630-783-0300","RMONTEZ@DOMINOS-CHICAGO.COM","571 COLLINS JOLIET IL 60432",-88.0731545,41.5352297,"571 collins st, joliet, il 60432, usa"
"264","DONA CONCHA BAKERY","DONA CONCHA  BAKERY","110",605,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-727-5780","DAISSYLOPEZ34@ICLOUD.COM","605 JACKSON JOLIET IL 60432",-88.0664655,41.5320707,"605 e jackson st, joliet, il 60432, usa"
"265","DONICO AMUSEMENTS","DONICO INC","974",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-942-2375","LYNETTE@DONICOGAMING.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"266","DONUT DEN","DONUT DEN","1630",3043,NA,NA,"THEODORE","STREET",NA,NA,"JOLIET","IL","60435",NA,"630-730-2621","KETTLEYREALTOR@COMCAST.NET","3043 THEODORE JOLIET IL 60435",-88.1578247,41.5514482,"3043 theodore st, joliet, il 60435, usa"
"267","DOUBLE J SPORTS BAR","DOUBLE J SPORTS BAR INC","59",1001,NA,NA,"ESSINGTON","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-791-6680","JREID3969@COMCAST.NET","1001 ESSINGTON JOLIET IL 60435",-88.161673,41.5402095,"1001 essington rd, joliet, il 60435, usa"
"268","DR PEPPER SNAPPLE GROUP","KEURIG DR. PEPPER","757",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"708-551-1325","ADRIANE.THOMPSON@DPSG.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"269","DSC LOGISTICS","DSC LOGISTICS LLC","1684",4000,NA,NA,"ROCK CREEK","BOULEVARD",NA,NA,"JOLIET","IL","60431",NA,"847-390-6800","JAMES.HILLCOCK@DSCLOGISTICS.COM","4000 ROCK CREEK JOLIET IL 60431",-88.178079,41.489582,"4000 rock creek blvd, joliet, il 60431, usa"
"270","DULCERIA NUEVA ITALIA LLC","DULCERIA NUEVA ITALIA LLC","2033",674,NA,NA,"COLLINS","STREET",NA,NA,"JOLIET","IL","60432",NA,"415-377-3564","SANTIAGOGARCIA81@ICLOUD.COM","674 COLLINS JOLIET IL 60432",-88.0721355,41.5371019,"674 collins st, joliet, il 60432, usa"
"271","DULCEROPON","DULCEROPON LLC","1277",510,NA,NA,"COLLINS","STREET","SUITE","A","JOLIET","IL","60432",NA,"815-272-6013","NEYACOSTA1@HOTMAIL.COM","510 COLLINS JOLIET IL 60432",-88.0721736,41.5340979,"510 collins st, joliet, il 60432, usa"
"272","DUNKIN DONUTS","OM SHREE HARI INC","106",4708,NA,NA,"CATON FARM","ROAD",NA,NA,"PLAINFIELD","IL","60586",NA,"630-945-5190","NIKS3700@YAHOO.COM","4708 CATON FARM PLAINFIELD IL 60586",-88.1987472,41.5646223,"4708 caton farm rd, plainfield, il 60586, usa"
"273","DUNKIN DONUTS","ELLIE MAR ENTERPRISES INC","1141",2401,NA,"SOUTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60436",NA,"815-727-5400","TLMCUBS@ATT.NET","2401 CHICAGO JOLIET IL 60436",-88.0816793,41.4801838,"2401 s chicago st, joliet, il 60436, usa"
"274","DUNKIN DONUTS","ELWOOD DONUTS INC","1992",2951,NA,NA,"CENTERPOINT","WAY",NA,NA,"ELWOOD","IL","60421",NA,"630-768-3140","RAJ@HARIGROUP.COM    UMESH5700@SBCGLOBAL.NET","2951 CENTERPOINT ELWOOD IL 60421",-88.1458365,41.4441121,"2951 centerpoint way, elwood, il 60421, usa"
"275","DUNKIN DONUTS","HOUBOLT DONUTS INC","644",1350,NA,NA,"HOUBOLT","ROAD",NA,NA,"JOLIET","IL","60431",NA,"708-979-1400",NA,"1350 HOUBOLT JOLIET IL 60431",-88.1677666,41.4971461,"1350 houbolt rd, joliet, il 60431, usa"
"276","DUNKIN DONUTS & BASKIN ROBBINS","JOLIET DONUTS INC","645",2959,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-729-1940","JOLIETINC@GMAIL.COM","2959 JEFFERSON JOLIET IL 60435",-88.1550214,41.5226514,"2959 w jefferson st, joliet, il 60435, usa"
"277","DUNKIN DONUTS 344303","JOLIET SOUTH CHICAGO DONUTS INC","107",400,NA,"SOUTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60436",NA,"815-727-2409","FERHANYAQOOB@GMAIL.COM","400 CHICAGO JOLIET IL 60436",-88.0805831,41.5166123,"400 s chicago st, joliet, il 60436, usa"
"278","DUNKIN DONUTS BASKIN ROBBINS 304027","JAY VARAI INC","109",20,NA,"SOUTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60436",NA,"815-730-3777","SBPATEL888@HOTMAIL.COM","20 LARKIN JOLIET IL 60436",-88.1242006,41.5216276,"20 s larkin ave, joliet, il 60436, usa"
"279","DUNKIN DONUTS BASKIN ROBBINS 336665","RKR DREAMS INC","108",3011,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-609-5870","NIKS3700@YAHOO.COM","3011 PLAINFIELD JOLIET IL 60435",-88.1609658,41.579625,"3011 plainfield rd, joliet, il 60435, usa"
"280","DUNKIN DONUTS PC345176","WEBER DONUTS INC","646",1401,NA,NA,"RT 59",NA,NA,NA,"JOLIET","IL","60431",NA,"815-436-5985","UMESH5700@SBCGLOBAL.NET","1401 RT 59 JOLIET IL 60431",-88.2032012,41.5469427,"1401 illinois rte 59, shorewood, il 60431, usa"
"281","DYNAMIC 3PL","DYNAMIC 3PL LLC","1505",4100,NA,NA,"ROCK CREEK","BOULEVARD",NA,NA,"JOLIET","IL","60431",NA,"708-289-9598","DAN.RIMKUS@DYNAMIC3PL-LLC.COM","4100 ROCK CREEK JOLIET IL 60431",-88.1834025,41.4888602,"4100 rock creek blvd, joliet, il 60431, usa"
"282","EBY-BROWN CO","EBY-BROWN COMPANY LLC","438",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"630-966-0300","MARILU.KARTHEISER@EBY-BROWN.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"283","ECOATM (INSIDE JEWEL 0224","ECOATM, LLC","2107",1537,NA,"NORTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"858-766-7250","GABRIELLA.RUSSO@ECOATM.COM","1537 LARKIN JOLIET IL 60435",-88.127461,41.5508882,"1537 n larkin ave, joliet, il 60435, usa"
"284","ECOATM (INSIDE WALMART 1256)","ECOATM, LLC","1652",2424,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"858-255-4111","SEAN.FLAHERTY@ECOATM.COM","2424 JEFFERSON JOLIET IL 60435",-88.1423491,41.519002,"2424 w jefferson st, joliet, il 60435, usa"
"285","ECOATM KIOSK 2 T-50","ECOATM, LLC","823",3340,NA,NA,"MALL LOOP","DRIVE","SPACE","T50","JOLIET","IL","60431",NA,"858-766-7250","SEAN.FLAHERTY@ECOATM.COM","3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"286","ECOATM( INSIDE JEWEL 1074)","ECOATM, LLC","2106",1401,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"858-766-7250","GABRIELLA.RUSSO@ECOATM.COM","1401 JEFFERSON JOLIET IL 60435",-88.1158674,41.5251021,"1401 w jefferson st, joliet, il 60435, usa"
"287","ECOATM, LLC (INSIDE WALMART 2956)","ECOATM, LLC","2063",1401,NA,NA,"RT 59",NA,NA,NA,"JOLIET","IL","60431",NA,"858-766-7250","SEAN.FLAHERTY@ECOATM.COM","1401 RT 59 JOLIET IL 60431",-88.2032012,41.5469427,"1401 illinois rte 59, shorewood, il 60431, usa"
"288","EDEN BAR & GRILL","EDEN BAR LLC","1553",926,NA,NA,"GARDNER","STREET",NA,NA,"JOLIET","IL","60433",NA,"815-630-2071","WIECHECC@SBCGLOBAL.NET","926 GARDNER JOLIET IL 60433",-88.0781292,41.5058597,"926 gardner st, joliet, il 60433, usa"
"289","EDIBLE ARRANGEMENTS","LEGACY FRUITS #1 LLC","874",1504,NA,NA,"ESSINGTON","ROAD","SUITE","2","JOLIET","IL","60435",NA,"815-729-9399","DLAWX2@SBCGLOBAL.NET","1504 ESSINGTON JOLIET IL 60435",-88.1603181,41.5494661,"1504 essington rd, joliet, il 60435, usa"
"290","EDWARD D JONES & CO LP 07680","EDWARD D JONES & CO LP","132",3225,NA,NA,"FIDAY","ROAD",NA,NA,"JOLIET","IL","60431",NA,"314-515-4929","BRANCHTAXTEAM@EDWARDJONES.COM","3225 FIDAY JOLIET IL 60431",-88.1688523,41.5582025,"3225 fiday rd, joliet, il 60431, usa"
"291","EDWARD D JONES & CO LP 15330","EDWARD D JONES & CO LP","133",3077,NA,"WEST","JEFFERSON","STREET","SUITE","106","JOLIET","IL","60435",NA,"314-515-4929","BRANCHTAXTEAM@EDWARDJONES.COM","3077 JEFFERSON JOLIET IL 60435",-88.1572697,41.5227263,"3077 w jefferson st, joliet, il 60435, usa"
"292","EDWARD D JONES & CO LP 75338","EDWARD D JONES & CO LP","1348",5700,NA,NA,"CATON FARM","ROAD",NA,NA,"PLAINFIELD","IL","60586",NA,"314-515-4929","BRANCHTAXTEAM@EDWARDJONES.COM","5700 CATON FARM PLAINFIELD IL 60586",-88.2224963,41.5644445,"5700 caton farm rd, plainfield, il 60586, usa"
"293","EDWARD D JONES & CO LP 87680","EDWARD D JONES & CO LP","1597",815,NA,"NORTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-725-5401","BRANCHTAXTEAM@EDWARDJONES.COM","815 LARKIN JOLIET IL 60435",-88.1258594,41.537987,"815 n larkin ave, joliet, il 60435, usa"
"294","EDWARD JONES","EDWARD D JONES & CO LP","2145",2730,NA,NA,"CATON FARM","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-254-1735",NA,"2730 CATON FARM JOLIET IL 60435",-88.1570552,41.5649672,"2730 caton farm rd, joliet, il 60435, usa"
"295","EDWARD JONES","EDWARD D JONES & CO LP","2146",701,NA,NA,"ESSINGTON","ROAD","SUITE","102","JOLIET","IL","60435",NA,"779-379-4631",NA,"701 ESSINGTON JOLIET IL 60435",-88.1611563,41.5350429,"701 essington rd, joliet, il 60435, usa"
"296","EDWARD JONES","EDWARD D JONES & CO LP","2147",735,NA,NA,"ESSINGTON","ROAD","SUITE","101","JOLIET","IL","60435",NA,"815-744-2127",NA,"735 ESSINGTON JOLIET IL 60435",-88.1613635,41.5351699,"735 essington rd, joliet, il 60435, usa"
"297","EDWARD JONES","EDWARD D JONES & CO LP","2148",1508,NA,NA,"ESSINGTON","ROAD","SUITE","4","JOLIET","IL","60435",NA,"815-744-9368","BRANCHTAXTEAM@EDWARDJONES.COM","1508 ESSINGTON JOLIET IL 60435",-88.1603181,41.5499343,"1508 essington rd, joliet, il 60435, usa"
"298","EENIGENBURG WATER","EENIGENBURG WATER CONDITIONING INC","856",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"219-365-4500","JOHN@EENINGENBURGWATER.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"299","EIGHTY NORTH BAR & STEAKHOUSE","JOLIET CONVENTION CENTER INC","596",411,NA,"SOUTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60436",NA,"815-729-2000","JHNRHEE@YAHOO.COM","411 LARKIN JOLIET IL 60436",-88.1258594,41.5139452,"411 s larkin ave, joliet, il 60436, usa"
"300","EL BORREGO DE ORO","HUASCA GROUP II INC","650",926,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-774-9401","MONROYJUANJOSE@HOTMAIL.COM","926 PLAINFIELD JOLIET IL 60435",-88.1061402,41.5408256,"926 plainfield rd, joliet, il 60435, usa"
"301","EL BURRITO ASADO","EL BURRITO ASADO CORP","1593",351,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-726-1515","FERRARI32.JG@GMAIL.COM","351 CASS JOLIET IL 60432",-88.0735097,41.5281755,"351 e cass st, joliet, il 60432, usa"
"302","EL BURRITO LOCO","EL BURRITO LOCO JOLIET INC","65",1509,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-342-3741","CARRILLO.JORGE22@YAHOO.COM","1509 JEFFERSON JOLIET IL 60435",-88.118194,41.5232276,"1509 w jefferson st, joliet, il 60435, usa"
"303","EL CONITO ICE CREAM","A AND P CORPORATION","1898",451,NA,NA,"COLLINS","STREET","SUITE","D","JOLIET","IL","60432",NA,"779-875-9417","OFICINASCOLLINS@GMAIL.COM","451 COLLINS JOLIET IL 60432",-88.0729717,41.5328701,"451 collins st, joliet, il 60432, usa"
"304","EL GATOW TOWING & AUTO REPAIR","EL GATOW INC","1765",53,NA,"WEST","CLAY","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-791-3697","GATOLOARTE@GMAIL.COM","53 CLAY JOLIET IL 60432",-88.0822366,41.532505,"il-53 & w clay st, joliet, il 60432, usa"
"305","EL MOLCAJETE RESTAURANT #2","EL MOLCAJETE RESTAURANT #2","2008",1116,NA,NA,"HOUBOLT","ROAD",NA,NA,"JOLIET","IL","60431",NA,"630-923-2687","YRMARIE26@GMAIL.COM","1116 HOUBOLT JOLIET IL 60431",-88.1679761,41.5016204,"1116 houbolt rd, joliet, il 60431, usa"
"306","EL NUEVO SUPERMERCADO Y CARNITAS JOSE","EL NUEVO SUPERMERCADO Y CARNITAS JOSE, L","1986",365,NA,NA,"RUBY","STREET",NA,NA,"JOLIET","IL","60435",NA,"TBD","TEMOREYES73@YAHOO.COM","365 RUBY JOLIET IL 60435",-88.0909158,41.5381945,"365 ruby st, joliet, il 60435, usa"
"307","EL OASIS DE LA SALUD","RUBIO, MARIA M","648",237,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-483-9135","MARCELARUBIOC@YAHOO.COM.MX","237 CASS JOLIET IL 60432",-88.0754567,41.5280717,"237 e cass st, joliet, il 60432, usa"
"308","EL PODER DE LA VIDA","ZAMUDIO, ESMERALDA","1836",676,NA,NA,"COLLINS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-212-2119",NA,"676 COLLINS JOLIET IL 60432",-88.0725761,41.5371347,"676 collins st, joliet, il 60432, usa"
"309","EL PRIMO MEXICAN RESTAURANT","EL PRIMO MEXICAN RESTAURANT CORPORATION","1339",751,NA,"NORTH","HICKORY","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-774-9090",NA,"751 HICKORY JOLIET IL 60435",-88.0868894,41.5377181,"751 n hickory st, joliet, il 60435, usa"
"310","EL PRIMO MEXICAN RESTAURANT #2","EL PRIMO MEXICAN RESTAURANT # 2 CORP","1953",700,NA,NA,"RUBY","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-474-2249","C.VACA@CMVACCOUNTING.COM","700 RUBY JOLIET IL 60435",-88.0991392,41.5376865,"700 ruby st, joliet, il 60435, usa"
"311","EL PRIMO MEXICAN RESTAURANT #3","EL PRIMO MEXICAN RESTAURANT #3 , CORP","2149",457,NA,NA,"SCOTT","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-409-7500",NA,"457 SCOTT JOLIET IL 60432",-88.0806487,41.5328343,"457 n scott st, joliet, il 60432, usa"
"312","EL RANCHITO SUPERMARKET","EL RANCHITO SUPERMARKET, LLC","1976",561,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-722-3457","RANCHITO1@SBCGLOBAL.NET","561 CASS JOLIET IL 60432",-88.067401,41.5284376,"561 e cass st, joliet, il 60432, usa"
"313","EL RODEO SPORTS BAR & GRILL","EL RODEO SPORTS BAR & GRILL INC","83",816,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-722-9814","CHEVITA4@YAHOO.COM","816 JACKSON JOLIET IL 60432",-88.0610811,41.5315902,"816 e jackson st, joliet, il 60432, usa"
"314","EL TREBOL BAR","EL TREBOL BAR, INC","1822",950,NA,NA,"COLLINS","STREET",NA,NA,"JOLIET","IL","60432",NA,"779-206-2911",NA,"950 COLLINS JOLIET IL 60432",-88.07225,41.5415909,"950 collins st, joliet, il 60432, usa"
"315","ELDER BREWING CO.","ELDER BREWING INC","1774",218,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-651-4200","ELDERBREWINGCO@GMAIL.COM","218 CASS JOLIET IL 60432",-88.076568,41.527749,"218 e cass st, joliet, il 60432, usa"
"316","ELITE AUTO REPAIR","ELITE AUTO REPAIR INC","1639",714,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"708-675-2006","ELITEAUTOREPAIR@ROCKETMAIL.COM","714 JEFFERSON JOLIET IL 60435",-88.1001884,41.5235571,"714 w jefferson st, joliet, il 60435, usa"
"317","ELIZALDE AUTOBODY SHOP","ELIZALDE AUTOBODY SHOP INC","1920",112,NA,NA,"HENDERSON","AVENUE",NA,NA,"JOLIET","IL","60432",NA,"779-435-2460","ELIZALDEBODYSHOP@GMAIL.COM","112 HENDERSON JOLIET IL 60432",-88.063697,41.5270095,"112 henderson ave, joliet, il 60432, usa"
"318","EN LAI RESTAURANT","SAIL GO, INC","2042",2356,NA,NA,"ESSINGTON","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-254-9988","1285015587@QQ.COM","2356 ESSINGTON JOLIET IL 60435",-88.1598416,41.5643526,"2356 essington rd, joliet, il 60435, usa"
"319","ERICKSON AMUSEMENTS","ERICKSON AMUSEMENTS INC","932",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"630-739-0028","ERICKSONAMUSEMENTS@YAHOO.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"320","EVERGREEN CLEANERS","YOUNG SIN LEE, GRACE","748",2321,NA,NA,"RT 59",NA,NA,NA,"PLAINFIELD","IL","60586",NA,"815-254-7299","GRACELEE1230@GMAIL.COM","2321 RT 59 PLAINFIELD IL 60586",-88.2014032,41.5641073,"2321 illinois rte 59, plainfield, il 60586, usa"
"321","E-Z AUTO SALES","E-Z AUTO SALES INC","750",313,NA,"SOUTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60436",NA,"815-744-1821","LISASPANAGEL@GMAIL.COM","313 LARKIN JOLIET IL 60436",-88.1252874,41.5163171,"313 s larkin ave, joliet, il 60436, usa"
"322","FAIRFIELD INN JOLIET SOUTH","CNI THL OPS, LLC","2032",1501,NA,NA,"RIVERBOAT CENTER","DRIVE",NA,NA,"JOLIET","IL","60431",NA,"972-952-0200","LICENSING@AIMHOSP.COM","1501 RIVERBOAT CENTER JOLIET IL 60431",-88.1677476,41.494666,"1501 riverboat center dr, joliet, il 60431, usa"
"323","FALCON SHELL","FALCON SERVICES INC","1850",710,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-722-5066","FALCONSERVICES710@GMAIL.COM","710 CASS JOLIET IL 60432",-88.0637352,41.5277517,"710 e cass st, joliet, il 60432, usa"
"324","FAMILY DOLLAR  28166","FAMILY DOLLAR INC","1104",1224,NA,NA,"RICHARDS","STREET",NA,NA,"JOLIET","IL","60433",NA,"815-726-1938","HFIGUER5@DOLLARTREE.COM","1224 RICHARDS JOLIET IL 60433",-88.0708077,41.5014446,"1224 richards st, joliet, il 60433, usa"
"325","FAMILY DOLLAR 21442","FAMILY DOLLAR INC","835",454,NA,"EAST","CASS","STREET","UNIT","102","JOLIET","IL","60432",NA,"815-722-2203","HFIGUER5@DOLLARTREE.COM","454 CASS JOLIET IL 60432",-88.0707228,41.5275955,"454 e cass st, joliet, il 60432, usa"
"326","FAMILY DOLLAR 26629","FAMILY DOLLAR INC","148",861,NA,"NORTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-741-6844","HFIGUER5@DOLLARTREE.COM","861 LARKIN JOLIET IL 60435",-88.1261645,41.5395527,"861 n larkin ave, joliet, il 60435, usa"
"327","FAMILY VENDING & ENTERTAINMENT","FAMILY VENDING & ENTERTAINMENT","2166",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"608-306-1503","SCOTTSHECKLER@GMAIL.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"328","FAMILY VIDEO 384","FAMILY VIDEO","801",1560,NA,NA,"RT 59",NA,NA,NA,"JOLIET","IL","60431",NA,"815-254-4970",NA,"1560 RT 59 JOLIET IL 60431",-88.1989196,41.5501679,"1560 illinois rte 59, joliet, il 60431, usa"
"329","FANNIE MAY 457","FANNIE MAY CONFECTIONS BRANDS INC","147",2543,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-254-0397","MELISSA.ROTI@FERRERO.COM","2543 PLAINFIELD JOLIET IL 60435",-88.1496289,41.5717034,"2543 plainfield rd, joliet, il 60435, usa"
"330","FANNIE MAY 487","FANNIE MAY CONFECTIONS BRANDS INC","487",2322,NA,NA,"RT 59",NA,NA,NA,"PLAINFIELD","IL","60586",NA,"815-609-6012","MELISSA.ROTI@FERRERO.COM","2322 RT 59 PLAINFIELD IL 60586",-88.1986006,41.5640237,"2322 illinois rte 59, plainfield, il 60586, usa"
"331","FENTON MOTEL","RNSP CORPORATION","765",2305,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-725-8527","RCPATEL1962@YAHOO.COM","2305 JEFFERSON JOLIET IL 60435",-88.1382509,41.5230846,"2305 w jefferson st, joliet, il 60435, usa"
"332","FIGUEROA AUTO SALES","FIGUEROA AUTO SALES INC","729",327,NA,NA,"COLLINS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-722-7771","FIGUEROAAS@YAHOO.COM","327 COLLINS JOLIET IL 60432",-88.0728957,41.5310698,"327 collins st, joliet, il 60432, usa"
