"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"924",1006,"JEFFERSON","JOLIET","IL",60435,"UNIQUE ANTIQUES","36-3951359","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1006 JEFFERSON JOLIET IL 60435",-88.1062928,41.5228768,"1006 w jefferson st, joliet, il 60435, usa"
"925",2621,"PLAINFIELD","JOLIET","IL",60435,"BARNES & NOBLE BOOKSELLERS INC","13-4030389","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"2621 PLAINFIELD JOLIET IL 60435",-88.1525444,41.5757082,"2621 plainfield rd, joliet, il 60435, usa"
"926",3340,"MALL LOOP","JOLIET","IL",60431,"SBARRO 162","11-2501939","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"927",3340,"MALL LOOP","JOLIET","IL",60431,"GNC 623","25-1124574","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"928",3340,"MALL LOOP","JOLIET","IL",60431,"GREAT STEAK & POTATO 1304","36-4109377","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"929",3340,"MALL LOOP","JOLIET","IL",60431,"RUE 21 1086","25-1311645","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"930",3340,"MALL LOOP","JOLIET","IL",60431,"SMOKEHOUSE OF JOLIET 1294","04-3797624","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"931",2304,"RT 59","PLAINFIELD","IL",60586,"LUCKY BAMBOO ASIAN CUISINE","47-0925263","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS B PREMISES",NA,"2304 RT 59 PLAINFIELD IL 60586",-88.198534,41.5635059,"2304 illinois rte 59, plainfield, il 60586, usa"
"932",3620,"ROCK CREEK","JOLIET","IL",60431,"7-ELEVEN 33031","30-0488546","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BUSINESS LICENSE","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","3620 ROCK CREEK JOLIET IL 60431",-88.1692333,41.4950411,"3620 rock creek blvd, joliet, il 60431, usa"
"933",1812,"JEFFERSON","JOLIET","IL",60435,"DELTA SONIC CAR WASH","16-0972035","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE","BAYS","1812 JEFFERSON JOLIET IL 60435",-88.125173,41.5213506,"1812 w jefferson st, joliet, il 60435, usa"
"934",306,"LARKIN","JOLIET","IL",60435,"SYMPHONY OF JOLIET","45-3915700","NURSING HOMES & SHELTERED CARE","NRSNGHOME","NURSING HOMES & SHELTERED LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","COIN VENDING-FOOD/SODA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"306 LARKIN JOLIET IL 60435",-88.1241815,41.5281257,"306 n larkin ave, joliet, il 60435, usa"
"935",2521,"PLAINFIELD","JOLIET","IL",60435,"FIRESTONE COMPLETE AUTO CARE","62-1867019","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2521 PLAINFIELD JOLIET IL 60435",-88.149,41.5713229,"2521 plainfield rd, joliet, il 60435, usa"
"936",327,"COLLINS","JOLIET","IL",60432,"FIGUEROA AUTO SALES","36-4507862","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"327 COLLINS JOLIET IL 60432",-88.0728957,41.5310698,"327 collins st, joliet, il 60432, usa"
"937",1307,"COLLINS","JOLIET","IL",60432,"G & J AUTO TECH","20-1641355","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1307 COLLINS JOLIET IL 60432",-88.0729844,41.5486442,"1307 collins st, joliet, il 60432, usa"
"938",1427,"LARKIN","JOLIET","IL",60435,"THOMAS NISSAN OF JOLIET","47-0928673","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,"BUSINESS LICENSE","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1427 LARKIN JOLIET IL 60435",-88.1269271,41.5487729,"1427 n larkin ave, joliet, il 60435, usa"
"939",2221,"OAK LEAF","JOLIET","IL",60436,"GREG'S BODY SHOP","36-4011850","PAINT SALES/SHOP","PNTSL/SHP1","PAINT SALE/SHOP LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2221 OAK LEAF JOLIET IL 60436",-88.1365735,41.5133769,"2221 oak leaf st, joliet, il 60436, usa"
"940",3225,"PLAINFIELD","JOLIET","IL",60435,"HONDA OF JOLIET","36-3814299","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,"BUSINESS LICENSE","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3225 PLAINFIELD JOLIET IL 60435",-88.1630614,41.5821148,"3225 plainfield rd, joliet, il 60431, usa"
"941",2755,"BLACK","JOLIET","IL",60435,"JAMESON'S PUB","84-1648313","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS Z OUTDOOR/BEER GRD FULL",NA,"2755 BLACK JOLIET IL 60435",-88.1488476,41.5374606,"2755 black rd, joliet, il 60435, usa"
"942",931,"PLAINFIELD","JOLIET","IL",60435,"KALBOS INC","36-3296273","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"931 PLAINFIELD JOLIET IL 60435",-88.1061402,41.5415279,"931 plainfield rd, joliet, il 60435, usa"
"943",1210,"PLAINFIELD","JOLIET","IL",60435,"MASTER'S AUTOMOTIVE","26-1625804","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1210 PLAINFIELD JOLIET IL 60435",-88.1120722,41.545039,"1210 plainfield rd, joliet, il 60435, usa"
"944",1101,"BROADWAY","JOLIET","IL",60435,"MARTINSON TIRE SERVICE","46-3946493","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1101 BROADWAY JOLIET IL 60435",-88.0861546,41.5437245,"1101 n broadway st, joliet, il 60435, usa"
"945",113,"BISSELL","JOLIET","IL",60432,"KRONO'S TIRE SHOP INC","45-3555575","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113 BISSELL JOLIET IL 60432",-88.0460894,41.5397073,"joliet, il 60432, usa"
"946",1852,"TERRY","JOLIET","IL",60436,"KLEINHOFFER MFG & REPAIR INC","36-3523167","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1852 TERRY JOLIET IL 60436",-88.1419867,41.4881618,"1852 terry dr, joliet, il 60436, usa"
"947",2321,"RT 59","PLAINFIELD","IL",60586,"EVERGREEN CLEANERS","34-1621092","DRY CLEANER","DRY CLEANR","DRY CLEANER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2321 RT 59 PLAINFIELD IL 60586",-88.2014032,41.5641073,"2321 illinois rte 59, plainfield, il 60586, usa"
"948",1009,"SPENCER","JOLIET","IL",60433,"JOLIET COUNTRY CLUB","36-1294060","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS O OUTDOOR/BEER GRD EARLY","CLASS O","CLASS O OUTDOOR/BEER GARDEN","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","1009 SPENCER JOLIET IL 60433",-88.0542499,41.4987326,"1009 w illinois hwy, joliet, il 60433, usa"
"949",313,"LARKIN","JOLIET","IL",60436,"E-Z AUTO SALES","36-4178446","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"313 LARKIN JOLIET IL 60436",-88.1252874,41.5163171,"313 s larkin ave, joliet, il 60436, usa"
"950",1018,"PLAINFIELD","JOLIET","IL",60435,"AMERIMEX MUFFLERS AND BRAKES 7 INC","46-2905892","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1018 PLAINFIELD JOLIET IL 60435",-88.1077616,41.5420032,"1018 plainfield rd, joliet, il 60435, usa"
"951",0,"OUT OF AREA",NA,NA,NA,"DR PEPPER SNAPPLE GROUP","36-4223626","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"952",1710,"PRAIRIE WIND","JOLIET","IL",60435,"PERFECT COFFEE SERVICE","SSN","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1710 PRAIRIE WIND JOLIET IL 60435",-88.1495336,41.5542481,"1710 prairie wind dr, joliet, il 60435, usa"
"953",826,"HORSESHOE","JOLIET","IL",60435,"CANTIGNY POST 367 VFW","36-0829231","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M ENTERTAINMENT/VP",NA,"826 HORSESHOE JOLIET IL 60435",-88.1059876,41.5389502,"826 horseshoe dr, joliet, il 60435, usa"
"954",0,"OUT OF AREA",NA,NA,NA,"PEPSI BEVERAGES CO","13-4042452","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"955",4200,"JEFFERSON","JOLIET","IL",60431,"JOLIET PLAZA INN & SUITES","46-1402641","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,"BUSINESS LICENSE","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4200 JEFFERSON JOLIET IL 60431",-88.1825646,41.5206294,"4200 w jefferson st, joliet, il 60431, usa"
"956",1806,"MCDONOUGH","JOLIET","IL",60436,"BUDGET INN EXPRESS","73-1458913","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,"BUSINESS LICENSE","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1806 MCDONOUGH JOLIET IL 60436",-88.1260691,41.5149831,"1806 mcdonough st, joliet, il 60436, usa"
"957",2305,"JEFFERSON","JOLIET","IL",60435,"FENTON MOTEL","36-4233905","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2305 JEFFERSON JOLIET IL 60435",-88.1382509,41.5230846,"2305 w jefferson st, joliet, il 60435, usa"
"958",3340,"MALL LOOP","JOLIET","IL",60431,"CARSON PIRIE SCOTT 515","63-1265548","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","COIN VENDING-FOOD/SODA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"959",3200,"CATON FARM","JOLIET","IL",60431,"CVS PHARMACY 1170","37-1414552","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3200 CATON FARM JOLIET IL 60431",-88.1626423,41.564989,"3200 caton farm rd, joliet, il 60431, usa"
"960",3340,"MALL LOOP","JOLIET","IL",60431,"GAMESTOP 138","41-1609563","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"961",1990,"JEFFERSON","JOLIET","IL",60435,"AL'S STEAK HOUSE","20-3706217","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS B PREMISES",NA,"1990 JEFFERSON JOLIET IL 60435",-88.1306654,41.5218389,"1990 w jefferson st, joliet, il 60435, usa"
"962",454,"CASS","JOLIET","IL",60432,"ADVANCE AUTO PARTS 8877","54-0118110","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"454 CASS JOLIET IL 60432",-88.0707228,41.5275955,"454 e cass st, joliet, il 60432, usa"
"963",200,"HAMMES","JOLIET","IL",60435,"A JOURNEY TO WELLNESS","N/A","MASSAGE SPA","MSSG SPA","MASSAGE SPA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200 HAMMES JOLIET IL 60435",-88.1315408,41.525318,"tiffany todd professional bldg, 200 n hammes ave, joliet, il 60435, usa"
"964",201,"MCDONALD","JOLIET","IL",60431,"AMERICAN MOTORSPORTS","SSN","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201 MCDONALD JOLIET IL 60431",-88.1869821,41.5169515,"201 mcdonald ave, joliet, il 60431, usa"
"965",4802,"CATON FARM","PLAINFIELD","IL",60586,"JOLIET BP","36-3830551","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","GAS STATION","HOSE","4802 CATON FARM PLAINFIELD IL 60586",-88.2009172,41.5645391,"4802 caton farm rd, plainfield, il 60586, usa"
"966",2375,"DRAUDEN","PLAINFIELD","IL",60586,"CVS/PHARMACY 5421","37-1414552","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2375 DRAUDEN PLAINFIELD IL 60586",-88.2299152,41.5639735,"2375 drauden rd, plainfield, il 60586, usa"
"967",3021,"PLAINFIELD","JOLIET","IL",60435,"CIRCLE K 6745","27-1278411","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","GAS STATION","HOSE","3021 PLAINFIELD JOLIET IL 60435",-88.1614802,41.5798087,"3021 plainfield rd, joliet, il 60435, usa"
"968",692,"THEODORE","JOLIET","IL",60435,"DOLLAR GENERAL 13824","36-4577242","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"692 THEODORE JOLIET IL 60435",-88.0990056,41.5520613,"692 theodore st, joliet, il 60435, usa"
"969",2401,"CHICAGO","JOLIET","IL",60436,"RT 66 LIQUORS","46-2988763","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS C PACKAGE","CLASS C","CLASS C PACKAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2401 CHICAGO JOLIET IL 60436",-88.0816793,41.4801838,"2401 s chicago st, joliet, il 60436, usa"
"970",1530,"RT 59","JOLIET","IL",60431,"GAMESTOP 3255","41-1609563","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1530 RT 59 JOLIET IL 60431",-88.1989947,41.5493935,"1530 illinois rte 59, plainfield, il 60586, usa"
"971",2765,"BLACK","JOLIET","IL",60435,"BAROLO RISTORANTE","36-4404690","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS B PREMISES",NA,"2765 BLACK JOLIET IL 60435",-88.149686,41.5370057,"2765 black rd, joliet, il 60435, usa"
"972",720,"CASS","JOLIET","IL",60432,"BARTON  CARROLLS","26-3414714","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720 CASS JOLIET IL 60432",-88.0629333,41.5278553,"720 e cass st, joliet, il 60432, usa"
"973",2780,"CHANNAHON","JOLIET","IL",60436,"JOLIET PARK DISTRICT SPLASH STATION","36-6005938","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"2780 CHANNAHON JOLIET IL 60436",-88.1453582,41.4870268,"2780 channahon rd, joliet, il 60436, usa"
"974",3340,"MALL LOOP","JOLIET","IL",60431,"TACO BELL/KFC 26719","36-4363917","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"975",2031,"RT 59","PLAINFIELD","IL",60586,"TUFFY AUTO SERVICES","35-2176238","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2031 RT 59 PLAINFIELD IL 60586",-88.200803,41.5593497,"2031 illinois rte 59, plainfield, il 60586, usa"
"976",2424,"JEFFERSON","JOLIET","IL",60435,"SUBWAY","26-0868377","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"2424 JEFFERSON JOLIET IL 60435",-88.1423491,41.519002,"2424 w jefferson st, joliet, il 60435, usa"
