LOC.NO,LOC.STREET,LOC.CITY,LOC.STATE,LOC.ZIP,BUS.NAME,DBA,SSN,BUS.PHONE,LIC.TEXT2..LIC.1.,CHG.1.DESC..LIC.1.,CHG.1.LONG.DESC..LIC.1.,CYCLE.CODE..LIC.2.,CYCLE.DESC..LIC.2.,LIC.TEXT1..LIC.2.,LIC.TEXT2..LIC.2.,LIC.TEXT4..LIC.2.,CYCLE.DESC..LIC.3.,LIC.TEXT1..LIC.3.,LIC.TEXT2..LIC.3.,CHG.1.DESC..LIC.3.,CHG.1.LONG.DESC..LIC.3.,CYCLE.CODE..LIC.4.,CYCLE.DESC..LIC.4.,LIC.TEXT1..LIC.4.,LIC.TEXT2..LIC.4.,LIC.TEXT4..LIC.4.,CYCLE.CODE..LIC.5.,CYCLE.DESC..LIC.5.,LIC.TEXT1..LIC.5.,LIC.TEXT2..LIC.5.,QTY.STAT.CD..LIC.5.,QTY.CD.DESC..LIC.5.,address,lon,lat
113,REPUBLIC,JOLIET,IL,60435,113 REPUBLIC AVENUE LLC,113 REPUBLIC AVE,47-1245287,815-280-6397,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,,,,,,113 REPUBLIC JOLIET IL,-88.1402367,41.5247077
428,JACKSON,JOLIET,IL,60432,"HERNANDEZ, JUAN CARLOS",LA FUENTE DE LA SALUD,47-3010901,815-593-0890,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,,,,428 JACKSON JOLIET IL,-88.07082609999999,41.5316411
2410,ESSINGTON,JOLIET,IL,60435,FAMILY VIDEO MOVIE CLUB INC,FAMILY VIDEO 88,37-1158001,815-439-1490,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2410 ESSINGTON JOLIET IL,-88.16132999999999,41.56599
435,JACKSON,JOLIET,IL,60432,"HENDERSON SR, GREGORY",CRYBABIES,47-2899259,815-722-6358,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-VIDEO POKER,MACHN,MACHINE,435 JACKSON JOLIET IL,-88.0704212,41.5317835
435,JACKSON,JOLIET,IL,60432,"HENDERSON SR, GREGORY",CRYBABIES,47-2899259,815-722-6358,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-VIDEO POKER,MACHN,MACHINE,435 JACKSON JOLIET IL,-88.0704212,41.5317835
1850,MCDONOUGH,JOLIET,IL,60436,JOLIET LODGING INC,MOTEL 6,47-2340325,815-729-2800,HOTEL/MOTEL,HOTEL 2,HOTEL/MOTEL LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,,,,,,,,,,,,,,,,,,1850 MCDONOUGH JOLIET IL,-88.12605959999999,41.514844
116,LARKIN,JOLIET,IL,60436,PIZZA FOR U,PIZZA FOR U,36-3798023,815-693-5774,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-VIDEO POKER,MACHN,MACHINE,116 LARKIN JOLIET IL,-88.1242261,41.5256202
2848,PLAINFIELD,JOLIET,IL,60435,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL 1671,84-1219301,312-256-7566,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,,,,,,2848 PLAINFIELD JOLIET IL,-88.15909549999999,41.574855
2848,PLAINFIELD,JOLIET,IL,60435,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL 1671,84-1219301,312-256-7566,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,,,,,,2848 PLAINFIELD JOLIET IL,-88.15909549999999,41.574855
550,COLLINS,JOLIET,IL,60432,GONZALEZ AUTO SALES INC,GONZALEZ AUTO SALES,01-0965245,630-674-5052,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,550 COLLINS JOLIET IL,-88.07240499999999,41.534662
3239,NORMAN,JOLIET,IL,60431,NORTHSIDE MIDWEST HERITAGE INN OF JOLIET,JOLIET FAIRFIELD INN & SUITES,47-2072602,217-855-2246,HOTEL/MOTEL,HOTEL 2,HOTEL/MOTEL LICENSE,,,,,,,,,,,,,,,,,,,,,,3239 NORMAN JOLIET IL,-88.16291600000001,41.583515
1511,PLAINFIELD,JOLIET,IL,60435,CHEFY'S KITCHEN AND CATERING,CHEFY'S KITCHEN AND CATERING,45-5277967,815-641-8776,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,1511 PLAINFIELD JOLIET IL,-88.1191324,41.5506105
550,CASS,JOLIET,IL,60432,TONY'S WOK INC,TONY'S WOK,47-2973132,815-814-8688,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,550 CASS JOLIET IL,-88.0685008,41.5276798
848,PLAINFIELD,JOLIET,IL,60435,"SANCHEZ, PEDRO",LA MINA DE JOLIET,47-2875196,815-212-2161,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,848 PLAINFIELD JOLIET IL,-88.1047619,41.5398246
2543,PLAINFIELD,JOLIET,IL,60435,FANNIE MAY CONFECTIONS BRANDS,FANNIE MAY 457,27-0085859,815-254-0397,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,,,,2543 PLAINFIELD JOLIET IL,-88.149604,41.5717041
2121,JEFFERSON,JOLIET,IL,60435,GENUINE PARTS COMPANY,NAPA AUTO PARTS,58-0254510,815-730-0875,PAINT SALES,PAINTSAL<1,PAINT SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,2121 JEFFERSON JOLIET IL,-88.1320324,41.5225162
1987,JEFFERSON,JOLIET,IL,60435,MAGNUM OIL 4 INC,JEFFERSON BP,47-3126188,779-379-5501,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,1987 JEFFERSON JOLIET IL,-88.1307458,41.5230834
2831,JEFFERSON,JOLIET,IL,60435,SPARKLE EXPRESS JOLIET INC,SPARKLE EXPRESS CAR WASH,46-5265221,815-773-9600,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,,,,2831 JEFFERSON JOLIET IL,-88.1501273,41.5221256
861,LARKIN,JOLIET,IL,60435,FAMILY DOLLAR INC,FAMILY DOLLAR 26629,,815-741-6844,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,,,,861 LARKIN JOLIET IL,-88.12611090000001,41.5395443
2323,RT 59,PLAINFIELD,IL,60586,FROZEN RAINBOW INC,FROZEN RAINBOW,47-1515431,815-341-2857,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2323 RT 59 PLAINFIELD IL,-88.2015022,41.5640414
2159,JEFFERSON,JOLIET,IL,60435,VIRGINIA'S RENT TO OWN LLC,VIRGINIA'S RENT TO OWN,81-4295184,815-630-4251,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,2159 JEFFERSON JOLIET IL,-88.1336242,41.5227823
311,LARKIN,JOLIET,IL,60436,A T & R K INC,MEINEKE REPAIR SHOP #266,46-5188079,815-741-2028,COIN VENDING - FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,,,,,,,,,,,,,,,,,311 LARKIN JOLIET IL,-88.1251367,41.5167476
800,WILCOX,JOLIET,IL,60435,GOLDEN DRAGON CHICAGO INC,GOLDEN DRAGON,47-3328305,815-724-1698,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,800 WILCOX JOLIET IL,-88.09856099999999,41.538145
221,RUBY,JOLIET,IL,60435,CHICAGO STYLE GRILL INC,CHICAGO STYLE GRILL,47-4580315,815-630-5709,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,221 RUBY JOLIET IL,-88.086315,41.5376921
3404,MOUND,JOLIET,IL,60436,LEGEND SMELTING & RECYCLING INC,LEGEND SMELTING & RECYCLING,31-1273965,815-744-1850,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,3404 MOUND JOLIET IL,-88.1638813,41.4912688
508,WASHINGTON,JOLIET,IL,60433,"GARCIA-DELGADO, FRANCISCO",FRANCISCO GARCIA-DELGADO JUNK PEDDLER,,815-630-9539,JUNK PEDDLER,JUNK PDDLL,JUNK PEDDLER LICENSE,,,,,,,,,,,,,,,,,,,,,,508 WASHINGTON JOLIET IL,-88.0679676,41.5241226
2319,RT 59,PLAINFIELD,IL,60586,AWAD GROUP INC,BURNING LEAF CIGARS,47-3475077,815-782-4700,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,,,,,,,,,,,2319 RT 59 PLAINFIELD IL,-88.2013413,41.564065
931,HICKORY,JOLIET,IL,60435,ANDY & SOPHIE'S INC,ANDY & SOPHIES TAVERN,36-3977278,815-723-5857,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,,931 HICKORY JOLIET IL,-88.0870563,41.5416613
931,HICKORY,JOLIET,IL,60435,ANDY & SOPHIE'S INC,ANDY & SOPHIES TAVERN,36-3977278,815-723-5857,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,,931 HICKORY JOLIET IL,-88.0870563,41.5416613
2700,PLAINFIELD,JOLIET,IL,60435,LAKES VENTURE LLC,FRESH THYME FARMERS MARKET LLC,46-1124457,815-733-4001,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C-D PACKAGE GOODS,CLASS C-D,CLASS C-D PACKAGE/BEER & WINE ONLY,,,,,,,,,,,,2700 PLAINFIELD JOLIET IL,-88.157726,41.5744837
0,OUT OF AREA,,,NA,LZ ENTERTAINMENT LLC,LZ ENTERTAINMENT,46-0765229,708-634-3501,COIN VENDING-VIDEO POKER,COIN PKR,COIN VENDING - VIDEO POKER LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
4100,ROCK CREEK,JOLIET,IL,60431,DYNAMIC 3PL LLC,DYNAMIC 3PL,27-1207577,708-289-9598,WHOLESALE PURVEYOR 1ST CLASS,WHLSLE 1ST,WHOLESALE PURVEYOR 1ST CLASS,,,,,,,,,,,,,,,,,,,,,,4100 ROCK CREEK JOLIET IL,-88.1832446,41.4886712
1019,PLAINFIELD,JOLIET,IL,60435,CABANAS PIZZA,CABANAS PIZZA,47-3811095,815-919-2334,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,1019 PLAINFIELD JOLIET IL,-88.1073491,41.5424014
1104,HOUBOLT,JOLIET,IL,60431,CHINA KITCHEN OF ILLINOIS INC,CHINA KITCHEN 3084,36-787175,815-773-0830,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,1104 HOUBOLT JOLIET IL,-88.1679911,41.5021048
2812,PLAINFIELD,JOLIET,IL,60435,GAMESTOP INC,GAMESTOP 5588,41-1609563,817-424-2000,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,2812 PLAINFIELD JOLIET IL,-88.15909549999999,41.574855
2701,BLACK,JOLIET,IL,60435,QUAD STEP HOLDINGS LLC,CHICAGO RACQUET & FITNESS,46-2433239,779-206-4903,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,2701 BLACK JOLIET IL,-88.1487882,41.5383374
26,CLINTON,JOLIET,IL,60432,26 W CLINTON STREET BUILDING LLC,HOTEL PLAZA,47-3473574,815-726-6195,HOTEL/MOTEL,HOTEL 2,HOTEL/MOTEL LICENSE,,,,,,,,,,,,,,,,,,,,,,26 CLINTON JOLIET IL,-88.082598,41.526666
359,AIRPORT,JOLIET,IL,60431,A-TEAM RECYCLERS LLC,A-TEAM RECYCLERS,47-3509829,815-600-0748,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,,,,359 AIRPORT JOLIET IL,-88.18145160000002,41.5163504
2410,JEFFERSON,JOLIET,IL,60435,GAMESTOP INC,GAMESTOP 6165,41-1609563,817-424-2000,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,2410 JEFFERSON JOLIET IL,-88.1422595,41.5216344
2525,JEFFERSON,JOLIET,IL,60435,WORLD AUTOMOTIVE JOLIET LLC,WORLD KIA JOLIET,47-3435345,815-725-2575,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES,PAINTSAL<1,PAINT SALES LICENSE,,,,,,,,,,,,2525 JEFFERSON JOLIET IL,-88.1456614,41.5226466
2001,JEFFERSON,JOLIET,IL,60435,WEST JEFF AUTO SALES LLC,HAWK CHEVROLET - CADILLAC,82-0578220,815-725-7110,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,2001 JEFFERSON JOLIET IL,-88.1274115,41.5235881
2051,JEFFERSON,JOLIET,IL,60435,WEST JEFF AUTO SALES LLC,HAWK MAZDA,82-0578220,815-725-7110,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,,,,,,,,,,,,,,,,,2051 JEFFERSON JOLIET IL,-88.12912329999999,41.5230414
2200,JEFFERSON,JOLIET,IL,60435,WEST JEFF AUTO SALES LLC,HAWK SUBARU,82-0578220,815-725-2575,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,2200 JEFFERSON JOLIET IL,-88.13668299999999,41.521758
2901,JEFFERSON,JOLIET,IL,60435,GFS MARKETPLACE NORTH AMERICA,GORDON FOOD SERVICE MP166,16-1675916,630-440-6796,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,,,,2901 JEFFERSON JOLIET IL,-88.1538167,41.5226736
1116,HOUBOLT,JOLIET,IL,60431,THE GAMING GOAT JOLIET LLC,THE GAMING GOAT,47-4287283,815-302-5655,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,1116 HOUBOLT JOLIET IL,-88.16793,41.5019027
81,CHICAGO,JOLIET,IL,60432,GJI'S INC,GJI'S SWEET SHOPPE,74-3252624,815-557-5591,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,81 CHICAGO JOLIET IL,-88.08187550000001,41.525745
3340,MALL LOOP,JOLIET,IL,60431,"CENTRAL FLORIDA RESTAURANTS, INC.",TGI FRIDAY'S,47-3323109,815-254-1882,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,CLASS B,CLASS B PREMISES,,,,,,,,,,,,3340 MALL LOOP JOLIET IL,-88.1655663,41.5762899
0,OUT OF AREA,,,NA,PJ DESANA INC,NAPERVILLE HEALTHY VENDING,47-3077610,708-557-2414,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
96,BARNEY,JOLIET,IL,60435,"FRIEND, MARK",JOE'S CIGARS,,815-341-2315,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,,,,,,,,,,,96 BARNEY JOLIET IL,-88.1427386,41.5241132
2300,RT 59,PLAINFIELD,IL,60586,ADVANCED FRESH CONCEPTS FRANCHISE CORP,AFC SUSHI @ TONY'S FINER FOODS #1267,45-0476056,815-733-2135,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2300 RT 59 PLAINFIELD IL,-88.1986299,41.5633167
809,CASS,JOLIET,IL,60432,"ORAM, DOUGLAS",FLEET SPECIALITY PAINTING,36-2988802,815-791-6083,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,,,,,,,,,,,,,,,,,809 CASS JOLIET IL,-88.0618312,41.5283391
0,OUT OF AREA,,,NA,RODELY VENDING,RODELY VENDING,SSN,815-278-6604,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
926,GARDNER,JOLIET,IL,60433,EDEN BAR LLC,EDEN BAR & GRILL,47-1153829,815-955-3975,CLASS V VIDEO GAMING,CLASS V,CLASS V VIDEO GAMING,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS O OUTDOOR/BEER GRD EARLY,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,,,926 GARDNER JOLIET IL,-88.07816079999999,41.5058714
504,MCDONOUGH,JOLIET,IL,60436,MDJ INC  DBA DAR'S BAR,DAR'S BAR,11-3733777,779-205-3674,COIN VENDING - VIDEO POKER,COIN PKR,COIN VENDING - VIDEO POKER LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,504 MCDONOUGH JOLIET IL,-88.09371689999999,41.515925
324,CHICAGO,JOLIET,IL,60436,AJAX CLEANERS & LAUNDRY INC,AJAX CLEANERS,36-3163604,815-739-0598,DRY CLEANER,DRY CLEANR,DRY CLEANER LICENSE,,,,,,,,,,,,,,,,,,,,,,324 CHICAGO JOLIET IL,-88.081762,41.517839
1425,BROADWAY,JOLIET,IL,60435,FPS LLC,HAUNTED TRAILS FAMILY FUN CENTER,47-4267099,815-722-7800,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,AMUSEMENT,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,,1425 BROADWAY JOLIET IL,-88.088989,41.549924
0,OUT OF AREA,,,NA,CAP VEND-TURES LLC,CAP VEND-TURES LLC,47-3892360,815-342-2098,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
1601,CASS,JOLIET,IL,60432,"DESAI, NRUPESH",7 ELEVEN 27947C,43-1827648,815-726-2133,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,,,1601 CASS JOLIET IL,-88.0429841,41.5295448
1748,IRISH INDIAN,JOLIET,IL,60436,PAUL MECHANICAL GROUP INC,PAUL MECHANICAL GROUP,26-3515002,815-207-8293,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,,,,1748 IRISH INDIAN JOLIET IL,-88.13988959999999,41.4895459
555,CASS,JOLIET,IL,60432,A & A GAS & FOOD MART,JOLIET MARATHON,46-3635214,312-451-5757,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,555 CASS JOLIET IL,-88.06846209999999,41.5281443
1805,JEFFERSON,JOLIET,IL,60435,JOLIET C INC,CHECKERS #3448,,847-208-5656,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,1805 JEFFERSON JOLIET IL,-88.1262049,41.5229449
2805,PLAINFIELD,JOLIET,IL,60435,ROSS DRESS FOR LESS INC,ROSS DRESS FOR LESS 1791,20-0594333,815-254-3154,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,,,,2805 PLAINFIELD JOLIET IL,-88.1559577,41.5786774
1481,RT 59,JOLIET,IL,60431,MURPHY OIL USA INC,MURPHY USA 7580,71-0727492,630-768-7626,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,1481 RT 59 JOLIET IL,-88.20264639999999,41.6234416
